"Series","Issue","Full Title","Variant Description","Publisher","Release Date","Format","Added Date","Creators"
"'Mazing Man","1","2","DC Comics","Feb 01"," 1986."
" 2","1","52A","DC Comics","May 11"," 2016."
"All-New Ultimates","1","8","Marvel Comics","Sep 10"," 2014."
